Year,County,NYC,Type,Republican,Democratic,Other,Total,Republican Pct,Democratic Pct,Other Pct
1998,ALBANY,Not NYC,Governor,58542,32848,21536,112926,0.518,0.291,0.191
1998,ALLEGANY,Not NYC,Governor,9830,1508,2077,13415,0.733,0.112,0.155
1998,BRONX,NYC,Governor,43955,135765,10412,190132,0.231,0.714,0.055
1998,BROOME,Not NYC,Governor,47041,9828,10946,67815,0.694,0.145,0.161
1998,CATTARAUGUS,Not NYC,Governor,16841,4052,3244,24137,0.698,0.168,0.134
1998,CAYUGA,Not NYC,Governor,18114,3689,3008,24811,0.73,0.149,0.121
1998,CHAUTAUQUA,Not NYC,Governor,28945,7878,4845,41668,0.695,0.189,0.116
1998,CHEMUNG,Not NYC,Governor,20983,3097,3578,27658,0.759,0.112,0.129
1998,CHENANGO,Not NYC,Governor,11303,1778,1800,14881,0.76,0.119,0.121
1998,CLINTON,Not NYC,Governor,18497,3518,2196,24211,0.764,0.145,0.091
1998,COLUMBIA,Not NYC,Governor,14831,4162,3032,22025,0.673,0.189,0.138
1998,CORTLAND,Not NYC,Governor,10094,2663,1887,14644,0.689,0.182,0.129
1998,DELAWARE,Not NYC,Governor,12190,2065,1682,15937,0.765,0.13,0.106
1998,DUTCHESS,Not NYC,Governor,53442,15121,7843,76406,0.699,0.198,0.103
1998,ERIE,Not NYC,Governor,178853,76001,52258,307112,0.582,0.247,0.17
1998,ESSEX,Not NYC,Governor,10930,1654,1191,13775,0.793,0.12,0.086
1998,FRANKLIN,Not NYC,Governor,9497,2057,1602,13156,0.722,0.156,0.122
1998,FULTON,Not NYC,Governor,11975,2168,2297,16440,0.728,0.132,0.14
1998,GENESEE,Not NYC,Governor,12131,2051,4549,18731,0.648,0.109,0.243
1998,GREENE,Not NYC,Governor,12121,2457,1938,16516,0.734,0.149,0.117
1998,HAMILTON,Not NYC,Governor,2313,337,351,3001,0.771,0.112,0.117
1998,HERKIMER,Not NYC,Governor,15736,2191,2455,20382,0.772,0.107,0.12
1998,JEFFERSON,Not NYC,Governor,20008,2613,3670,26291,0.761,0.099,0.14
1998,KINGS,NYC,Governor,122141,241963,25668,389772,0.313,0.621,0.066
1998,LEWIS,Not NYC,Governor,6554,778,1112,8444,0.776,0.092,0.132
1998,LIVINGSTON,Not NYC,Governor,10894,2296,6323,19513,0.558,0.118,0.324
1998,MADISON,Not NYC,Governor,15141,2838,2748,20727,0.73,0.137,0.133
1998,MONROE,Not NYC,Governor,100754,48697,87152,236603,0.426,0.206,0.368
1998,MONTGOMERY,Not NYC,Governor,11756,2652,2426,16834,0.698,0.158,0.144
1998,NASSAU,Not NYC,Governor,274105,119911,29785,423801,0.647,0.283,0.07
1998,NEW YORK,NYC,Governor,96594,232835,33395,362824,0.266,0.642,0.092
1998,NIAGARA,Not NYC,Governor,42613,12712,12079,67404,0.632,0.189,0.179
1998,ONEIDA,Not NYC,Governor,57380,9084,9447,75911,0.756,0.12,0.124
1998,ONONDAGA,Not NYC,Governor,100969,29134,20692,150795,0.67,0.193,0.137
1998,ONTARIO,Not NYC,Governor,17203,3840,11043,32086,0.536,0.12,0.344
1998,ORANGE,Not NYC,Governor,59818,17538,8238,85594,0.699,0.205,0.096
1998,ORLEANS,Not NYC,Governor,7372,1273,2852,11497,0.641,0.111,0.248
1998,OSWEGO,Not NYC,Governor,26122,4404,4547,35073,0.745,0.126,0.13
1998,OTSEGO,Not NYC,Governor,13470,2994,2305,18769,0.718,0.16,0.123
1998,PUTNAM,Not NYC,Governor,21885,4881,2511,29277,0.748,0.167,0.086
1998,QUEENS,NYC,Governor,140716,198693,22492,361901,0.389,0.549,0.062
1998,RENSSELAER,Not NYC,Governor,35514,9820,9706,55040,0.645,0.178,0.176
1998,RICHMOND,NYC,Governor,60688,26404,5952,93044,0.652,0.284,0.064
1998,ROCKLAND,Not NYC,Governor,52998,24439,6816,84253,0.629,0.29,0.081
